Restore	載入
Restart	重新開始
    Quit    	    離開    
Score: %d out of %d	分數：%d／%d
This icon displays your current score.	這個圖示顯示你目前的分數。
Select this Icon to close this window.	選這個圖示關掉視窗。
wSelect this Icon to close this window.	選這個圖示關掉視窗。
Select this Icon then select an inventory item you'd like a description of.	先選這個圖示，再選你想看說明的道具。
Allows you to select an item.	讓你挑選道具。
This icon shows the currently selected inventory item.	這個圖示顯示你目前選取的道具。
This icon displays the inventory window.	這個圖示打開道具欄。
This icon is for walking.	這個圖示是走路用的。
Allows you to restore a previously saved game.	讓你載入之前存的進度。
Allows you to restart the game.	讓你重新開始這場遊戲。
You can't pull your gun here, Bonds.	Bonds，這裡不能拔槍。
Going off duty?	要下班了嗎？
You want to start over?	要重來一次嗎？
You can't save right now.	現在不能存檔。
You can't restore right now.	現在不能載入。
That game was saved under a different interpreter. It cannot be restored.	這個存檔是別的版本存的，讀不出來。
You have %s	你身上有 %s
You put the batteries in the flashlight.	你把電池裝進手電筒。
Your gun is in that locker.	你的槍在那個置物櫃裡。
You take your gun.	你拿起自己的槍。
You put your gun in the locker, lock the door, and take the key.	你把槍放進置物櫃，鎖上門，拔走鑰匙。
You take your handcuffs.	你拿起手銬。
You are not close enough to handcuff him.	你離他太遠，銬不上。
You only need handcuffs to restrain a suspect, not a witness.	手銬是用來制伏嫌犯的，證人不用銬。
You remove your flashlight.	你取出手電筒。
You turn your flashlight off.	你關掉手電筒。
You turn your flashlight on and begin a search of the scene.	你打開手電筒，開始搜查現場。
Your Baretta nine millimeter handgun.	你的 Baretta 九釐米手槍。
Your handcuffs are made of stainless steel.	你的手銬是不鏽鋼做的。
Your regulation flashlight.	你的配發手電筒。
A Computer ID request form.	一張電腦查詢申請單。
Search warrant.	搜索票。
judicial order.	法院命令。
Calibration chart.	校正表。
A manila envelope.	一個牛皮紙信封。
Music box.	音樂盒。
Camera.	相機。
the score board	計分板
You see various scores of past games.	你看到歷來幾場遊戲的分數。
Yes, Sergeant? Can I do something for you?	警佐，有事嗎？要我幫什麼忙？
I KNOW who you are, Sergeant Bonds. Quit being a wiseass.	我知道你是誰，Bonds 警佐。少在那邊耍嘴皮子。
You on duty, Bonds? I got plenty of free cells to be filled up.	Bonds，你當班喔？我這邊空牢房多得是，隨時等你送人來。
The car radio interrupts the silence:	車上的無線電打破了沉默：
A radio call interrupts your thoughts of being home with Marie tonight:	一通無線電打斷了你「今晚要回家陪 Marie」的念頭：
As for Sonny, he was promoted to Detective Sergeant with the Lytton Police Department.	至於 Sonny，他升上了 Lytton 警局的警探警佐。
As the story opens, Sonny's just finished his Sergeant's training and is back on duty.	故事開始時，Sonny 剛結束警佐訓練，重新回到崗位上。
You shudder again as you\nlook at the photograph\nof Jessie and Michael Bains.	你又打了個寒顫，\n盯著 Jessie 和 Michael Bains\n的那張照片。
