Them's too slanty.	眼睛太斜。
Those eyes remind me of my niece's.	那雙眼睛讓我想起我外甥女的。
Those eyes look a bit sinister.	那雙眼睛看起來有點邪惡。
Too droopy, he had alert eyes.	太下垂了，他的眼睛是機警的。
No!.. I said little beady eyes.	不對！我說的是小而圓的眼睛。
Did I say he was oriental? Change it!	我有說他是東方人嗎？改掉！
Reminds me of my kind mother's eyes.	讓我想起我善良母親的眼睛。
Them's beady but too far apart.	眼睛很圓但距離太遠。
They're way too big Sonny.	Sonny，眼睛太大了。
Now that's some evil eyes.	現在那是邪惡的眼睛。
I said hawkish not button boy.	我說的是鷹眼，不是紐扣眼。
That's a better beak. But I think it may hav' been narrower.	那是更好的鷹鼻。但我覺得也許應該更窄一點。
I don't think that's it.	我不認為那是它。
He didn't have a pug nose, that's fur sure.	他沒有獅子鼻，那是確定的。
I don't know,.. maybe that could be the the shnoz!	我不知道…也許那可能是鼻子！
That's kinda like it ... I guess.	那有點像…我想。
He didn't hav'a little tweedy-bird nose!	他沒有小知更鳥鼻！
No that's not it at all!	不，一點都不對！
I dated a man with a cute nose like that.	我交過一個鼻子像那樣的可愛男人。
I couldn't see up his nose like that.	我看不進他那樣的鼻孔裡。
Nope! Too flat! I don't think your listenin' to me!	不！太扁平了！我不覺得你有在聽我說話！
Close... But without the cavernous nostrils!	接近…但沒有那麼大的鼻孔！
That nose is way too big!	那鼻子太大了！
You can try that one beak there.	你可以試試那個鷹鼻。
That looks like the beak to me.	那個看起來像鷹鼻。
Could be,.. he sure looked mean.	也許，他看起來確實很兇惡。
Now there's a sour one Sonny.	Sonny，那是很不開心的嘴。
Look like someone gave him a fat lip.	看起來像是有人打腫了他的嘴。
He didn't have lips as full as those.	他的嘴唇沒有那麼飽滿。
Those look like women's lips to me!	那看起來像女人的嘴唇！
Naw, too full, He had a tight mouth.	不，太飽滿了，他的嘴很緊。
That's not it!	那不是！
Hmmm!... I don't think so.	嗯！…我不這麼認為。
I don't know, could be.	我不知道，也許吧。
That just doesn't look right to me.	那對我來說看起來不太對。
No too sweet of a mouth fur his kind.	不，對他這種人來說嘴太甜蜜了。
Them's a little too precious for this thug!	那對這個暴徒來說有點太精緻了！
That's kinda' like his mouth. It was dark ya know.	那有點像他的嘴。你知道，那是黑色的。
That'll do for starters.	開始時可以這樣。
That makes him look kinda alien don'tcha' think?	那讓他看起來有點像外星人，你不覺得嗎？
He had a little arch to his brow.	他的眉毛有點弧度。
Too hairy!	太多毛了！
Did I say he had shrubs above his eyes? Change it!	我有說他眼睛上方有灌木叢嗎？改掉！
A tab bit more arch to them brows Sonny.	Sonny，那些眉毛再多一點弧度。
That's looks close... I think.	那看起來接近…我想。
Naw them brows just don't look right.	不，那些眉毛看起來不太對。
Nope!	不！
Heeeey! I think we're gettin' some where with this contraption now!	嘿！我想我們現在用這個裝置進展了！
He had him a full beard.	他有個滿臉的鬍子。
No he had whiskers too.	不，他也有短鬍子。
No, no, no!.. He looks like Zorro now!	不，不，不！他現在看起來像 Zorro！
I said hairy, with a beard, boy.	我說的是多毛的，有鬍子的，小子。
There...just like the ol' Generalw.	那邊…就像老將軍。
Taking those curves a bit fast, aren't you?	你開過那些彎道有點快，是嗎？
Those curbs just sneak right up on you, don't they?	那些路邊石就悄悄地撲向你，是不是？
He might not have been wearing much, but it's amazing where people can hide things.  ALWAYS search your prisoners.	他也許沒穿多少衣服，但令人驚奇的是人們可以在哪裡藏東西。要時常搜查你的囚犯。
Your failure to follow correct police procedure has resulted in a $100,000,000 law suit.  Time to hit that police manual.	你未能遵循正確的警察程序導致一億美元的訴訟。該去翻警員手冊了。
A good police officer is ALWAYS prepared.  You'll do better next time.	優秀的警察總是有準備的。下次你會做得更好。
If you can't smell a rotten egg when it's sitting right next to you, how do you expect to catch criminals you don't even know?	如果你坐在爛蛋旁邊都聞不到臭味，你怎麼期望抓到你連不認識的罪犯？
You've become the The Ultimate Road Kill.	你已經成了終極路殺。
You have to take care of that oncoming traffic.  Check that manual!	你必須小心來往的交通。查一下手冊！
Your failure to report to today's officer briefing resulted in a suspension.  When duty calls... listen!	你未能參加今天的警員簡報導致被停職。當職責召喚…要聽著！
You failure to respond the Aspen Falls call resulted in a suspension.  An officer who doesn't report to assigned calls puts the public in danger.	你未能回應 Aspen Falls 呼叫導致被停職。不回應被指派呼叫的警官會使公眾處於危險中。
At the scene of a fire, the firechief's the man in charge.  Do as he says, and you won't get burned.	在火災現場，消防隊長是負責人。聽他的，你就不會受傷。
Next time you enter a suspect dwelling, make sure both you and your gun are ready!	下次你進入嫌犯的住處，確保你和你的槍都準備好了！
That was a foolish thing to do.  He wasn't worth drowning for.  Next time try to be more creative.	那是一件愚蠢的事。他不值得為他送命。下次試著更聰明一點。
Don't just stand there while you're being attacked. DO something! It's called self defense.	被襲擊時不要只站在那裡。做點什麼！這叫自衛。
Shooting a perpetrator whose only threat to you is his mouth and fists is no way to uphold the law.  You're suspended from the L.P.D. and the press has a field day discussing 'police brutality'.	射擊一個只用嘴和拳頭威脅你的犯人不是維護法律的方式。你被暫停執法，媒體對「警察暴力」進行了一場盛大的討論。
Looks to me like your suspect got the drop on you.  You need to stay on your toes.	在我看來，你的嫌犯抓住了你。你需要保持警惕。
You Got him!  But was he the right guy?... the guy who stabbed your wife.   This question will nag you for the rest of your life.	你抓住他了！但他是對的人嗎？…那個刺傷你妻子的人。這個問題會一直困擾你的一生。
The man you killed was an allied agent reaching for his badge to I.D. himself.  Your trigger finger gets you five years in jail and kills your career.	你殺死的人是一個聯盟特工，正在拿出他的徽章來識別自己。你的扳機指讓你入獄五年並毀掉你的職業生涯。
You're carrying a deadly weapon.  Don't use it lightly.	你帶著致命武器。不要輕易使用。
You let the intoxicated driver continue on his merry way and a car full of five teenagers died when he rear-ended them going ninety.   You were immediately suspended.	你讓醉駕司機繼續他的快樂之旅，一車五名青少年在以 90 公里的速度被他追尾時死亡。你被立即停職。
