Dispatch responds...	勤務中心回應了…
Officer Banks says that he needs the tracker for three more days.	警員 Banks 說追蹤器還要再借三天。
Mike hangs up in disgust.	Mike 厭煩地掛上電話。
Don't you have anything to do, Sergeant?	你沒有正事做嗎，警佐？
Has your brain slipped into neutral, Sarge?	警佐，你的腦子是不是打到空檔了？
Someone, somewhere must need you, Sergeant.	總有人在什麼地方需要你吧，警佐。
Sergeant! Can you stand around and pick your nose somewhere else? I really don't have time for you.	警佐！你要摳鼻子閒晃可以換個地方嗎？我真的沒空理你。
If you don't mind, I need to get back to installing a hard disk.	如果你不介意，我要繼續裝硬碟了。
You look in the cabinet to see what loaner equipment is in stock.	你查看櫃子，看看還有哪些外借裝備。
You see a tracking device in the drawer.	你在抽屜裡看到一台追蹤器。
The drawer is empty.	抽屜是空的。
The head technician, Mike Downs, stops his work and says...	技術主管 Mike Downs 停下手邊的工作說…
Listen, Sarge, I'm a very busy person!	聽好了，警佐，我可是大忙人！
Unless you're here on official business, I don't have time for you!	除非你是為公事而來，不然我沒空理你！
If you don't have your access card, you're out of synch man!	你沒帶通行卡的話，就是狀況外，老兄！
I can't let you access my data without the right authorization sequence.	沒有正確的授權程序，我不能讓你存取我的資料。
These disks don't spin without the right paperwork. Come back when you got the Requisition form.	沒有正確的文件，這些磁碟就不會轉。等你拿到申請單再回來吧。
Hey Mike, what does dispatch want?	喂，Mike，勤務中心找你幹嘛？
Who? Oh. Sure, I'll tell him.	誰？喔，好，我會轉告他。
Hey Bonds! They need you to drive out to Aspen Falls to respond to a call. All other units are occupied.	喂，Bonds！他們要你開車去 Aspen Falls 出勤，其他小隊都在忙。
Listen Sarge, I'm a very busy person! Not your messenger boy.	聽好，警佐，我是大忙人！我又不是你的跑腿小弟。
You remove the tracking device from Mike's desk drawer.	你從 Mike 的桌子抽屜裡拿出追蹤器。
Now, don't you forget to return the tracker either!	還有，別忘了把追蹤器還回來！
Yeah, he's a nerd, but he knows his stuff.	對啊，他是個書呆子，不過真的很懂行。
The lab tech doesn't have time to look at your stuff, Bonds.	Bonds，技術員沒空看你的東西。
Trying to project your voice through glass proves to be futile.	想要隔著玻璃喊話根本沒用。
Yep! There's been times when you've wanted to get your hands around the neck of a dispatcher.	沒錯！有那麼幾次，你真想掐住勤務中心人員的脖子。
Don't look through Mike's cabinet.	別亂翻 Mike 的櫃子。
You're not qualified to screw around with the mainframe.	你沒有資格亂動主機。
There's nothing for you on the desk right now.	桌上現在沒有你要找的東西。
Mike's very protective of his computers.	Mike 對他的電腦保護得很緊。
The computer magazines are of little interest.	這些電腦雜誌沒什麼好看的。
Don't rap on the window and disturb dispatch!	別敲窗戶打擾勤務中心的人！
You have an evil mind.	你的想法很邪惡。
You don't need to get at the computer cables and Mike wouldn't let you anyway.	你用不著去動電腦線路，反正 Mike 也不會讓你動。
It is empty.	裡面是空的。
There's no reason to get out here.	沒有理由在這裡下車。
You didn't respond to the crash in a reasonable amount of time.	你沒有在合理時間內趕到車禍現場。
You're supposed to be setting an example with your driving, Bonds.  There's no excuse for running stop signs.	Bonds，你開車應該以身作則。闖停車標誌沒有藉口可說。
In fact, your flagrant disregard for traffic laws has cost you %d points so far.	事實上，你公然無視交通規則，已經讓你扣了 %d 分。
Jumping from a moving car is only done in the movies, Bonds.	Bonds，從行進中的車輛跳車只有電影裡才會這樣做。
You can't leave you car in the middle of an intersection.	你不能把車停在十字路口中間。
You decide to wait until after your shift to check in on Marie.	你決定等下班後再去看 Marie 的狀況。
Oh, Officer, thank God! You've got to stop that man! He's a raving lunatic!	喔，警員，謝天謝地！你一定要阻止那個人！他滿口胡話，瘋瘋癲癲的！
Just what seems to be the problem, ma'am?	女士，請問發生什麼事？
There's a madman over there! Why...why he's almost butt naked! Ranting and raving about aliens from outer space. He's going to hurt someone!	那邊有個瘋子！他…他幾乎全裸！嘴裡念念有詞說什麼外太空來的外星人。他會傷到人的！
Calm down, Ma'am. I'll take care of it.	冷靜點，女士。我會處理的。
You have no time to go swimming.	你沒空去游泳。
After daydreaming, you realize that you have to get him to the station.	你回過神來，想起得把他帶回警局。
You make sure the deranged man is secured and belted into the front of your patrol car.	你確認這名精神失常的男子已經固定好，繫上安全帶坐在巡邏車前座。
Searching a wet and nearly naked man like this is particularly unpleasant.	要搜一個渾身濕透、幾乎全裸的男子，實在讓人很不舒服。
Nevertheless, you're glad you did when you discover a knife concealed in his briefs.	不過當你在他的內褲裡搜出一把藏著的刀，你還是慶幸自己搜了身。
DO something, Officer!	警員，你倒是做點什麼啊！
WE'RE okay. Go get the fruitcake.	我們沒事，去抓那個瘋子。
Whaddya want with us? The nutcase is over there by the river!	你找我們幹嘛？瘋子在那邊河邊啦！
Lock that mad man up before he hurts someone, Officer!	警員，趁他傷到人之前把那瘋子關起來！
OOPS talkb4CuffingNut doens't work.	糟了，talkb4CuffingNut 故障了。
Imagine that kind of behavior going on in our public parks!	真沒想到我們的公園裡會發生這種事！
What is this world coming to!?	這個世界到底是怎麼了！？
Good job, Officer.  We can always count on our Men In Blue.	幹得好，警員。我們的警察弟兄果然靠得住。
Watch out, dude!  He looks pretty squirrely.   Be careful with him!	小心點，老兄！他看起來神經兮兮的，小心應付他！
OOPS talkAfterCuffingNut doens't work.	糟了，talkAfterCuffingNut 故障了。
Smacking her in the face won't help. She's not that hysterical.	甩她一巴掌沒有用，她沒有歇斯底里到那種程度。
The woman is hysterical and won't calm down until you take care of the alleged crazy man.	這名婦人情緒歇斯底里，除非你把那個所謂的瘋子處理好，否則她不會冷靜下來。
We can SEE that you're a police officer. Now why don't you DO something?	我們看得出來你是警察，那你倒是做點什麼啊？
She obviously ISN'T the perpetrator you were called here to subdue!	她顯然不是你被叫來這裡制伏的那個犯人！
So what are you going to do with him?	那你打算拿他怎麼辦？
