Bronze Star.	銅星獎章。
Gold paint transfer.	金色烤漆轉移痕跡。
Skin and hair samples.	皮膚與毛髮採樣。
Personal photo.	個人照片。
Blood and hair samples.	血液與毛髮採樣。
Insignia Ring.	徽章戒指。
Cult book.	邪教書籍。
White paint sample.	白色烤漆樣本。
Location found?	發現地點？
Clutched in victim's right hand.	緊握在被害人右手中。
Scene of attack - mall parking lot.	攻擊現場——購物中心停車場。
Left rear quarter panel of abandoned 1973 Ford Pinto.	一輛遭棄置的1973年 Ford Pinto 左後葉子板。
Under victim's fingernails.	被害人指甲縫中。
Burned-out house, 500 block west Peach.	燒毀的房屋，西 Peach 街500號街區。
Left hand, murder suspect Steve Rocklin.	命案嫌犯 Steve Rocklin 的左手。
On body of murder suspect Steve Rocklin.	在命案嫌犯 Steve Rocklin 身上。
Left rear quarter panel of 1976 GTO.	1976年 GTO 左後葉子板。
And disposition?	處置方式呢？
Analyze for possible match to with paint transfer in case #199145.	分析是否與案號199145的烤漆轉移痕跡相符。
Analyze for possible vehicle type.	分析可能的車輛型號。
Analyze for DNA profile.	分析DNA圖譜。
Secure as evidence.	列為證物保管。
This is a new case Gibbs. I need a new number.	這是一件新案子，Gibbs。我需要一個新案號。
Ok Sonny, the next number is 199145.	好的 Sonny，下一個案號是199145。
You got something to drop off or are you just here for the show?	你是有東西要送交，還是純粹來看熱鬧的？
If you haven't got something for me, Bonds, do you mind clearing the path for officers that do?	如果你沒有東西要交給我，Bonds，可以請你讓路給有東西要交的員警嗎？
Are you here to book some evidence or are you just lost?	你是來登錄證物的，還是迷路了？
If you don't want to make a 'deposit', Bonds, why the hell are you here?	如果你不是來「投遞」的，Bonds，你到底來這裡幹嘛？
You could try it, but it would only get you suspended REAL fast.	你可以試試看，不過那只會讓你很快就被停職。
If you want to give Officer Gibbs something, use the evidence deposit slot.	如果你要交東西給 Gibbs 警員，請用證物投遞口。
Just put something in it.	放點東西進去就對了。
Evidence doesn't want that.	證物室不收這個。
Where the heck you goin', Sarge? This here's the ladies room! Men's is right next door.	你到底要去哪啊，警佐？這裡是女廁！男廁就在隔壁。
Whew, that lady ought to be in professional boxing!   Guess you went in at the wrong time.	哇，那位小姐去打職業拳擊都行！看來你走錯時間了。
"You men are all alike!  Only one thing on your filthy minds!  Freakin' pervert!"	「你們這些男人都一個樣！腦子裡就只有那件骯髒事！死變態！」
Hey, Sarge! Nice day, ain't it? Sure as heck would like ta be fishin'!	嘿，警佐！今天天氣不錯吧？真希望現在能去釣魚啊！
Ya know, there's a great little lake just outsida town that's chock fulla bass.	你知道嗎，鎮外有個小湖魚況超好，鱸魚多到爆。
Maybe y'all'd like ta go fishin' with me sometime.	改天說不定你也想跟我一起去釣魚。
Well, gotta get back ta work. Take care now, y'hear?	好啦，我得回去工作了。保重啊，聽到沒？
Mr. Stump, the toilet in the men's locker room is overflowing.	Stump 先生，男更衣室的馬桶滿出來了。
Think maybe you can take care of that for me? It's a real mess.	可以麻煩你處理一下嗎？真的是一團亂。
Well, I sure can! Heck, I'll get right on it, Sarge.	沒問題！我這就馬上去處理，警佐。
The door's already open.	門已經開了。
There's nothing you need in that box.	那個箱子裡沒有你需要的東西。
You take some flares.	你拿了一些照明彈。
You already have plenty of flares.	你的照明彈已經夠多了。
You take some batteries from the box.	你從箱子裡拿了一些電池。
You already have plenty of batteries.	你的電池已經夠多了。
Mr. Stumps is friendly, but he's not THAT friendly.	Stumps 先生人是很親切，但沒有親切到那種程度。
The janitor looks friendly enough, so you strike up a conversation.	這位工友看起來挺和善的，於是你上前攀談。
Looking for a new career?	在找新工作嗎？
But... there's no fire.	可是……根本沒有火災。
Just walk in.	直接走進去就行了。
You don't need to open the window.	你不需要打開窗戶。
The lights are left on during the day.	燈白天就這樣一直開著。
Looks like the janitor fixed the toilet.	看來工友已經把馬桶修好了。
You unroll all of the two ply toilet paper creating a big wad.	你把整捲雙層衛生紙都抽了出來，揉成一大團。
You toss the wad of paper into the toilet and flush it.	你把那團紙丟進馬桶裡沖掉。
The toilet complains loudly and starts to overflow.	馬桶發出很大的怪聲，開始滿出來。
Now, what was my combination? Oh yeah, I wrote it down on the inside cover of my Police Manual.	我的密碼是多少來著？對了，我寫在警員手冊的封面內側了。
The janitor looks a little busy at the moment. Better leave him alone and get on with your sleuthing?	工友現在看起來有點忙，還是別打擾他，繼續辦你的案子吧？
I wouldn't go in there with that toilet running.	那馬桶還在運轉，我勸你別進去。
Geez! Someone had some serious paper work to do in here. They musta' used an entire roll.	天啊！有人在這裡搞出好大的「紙上作業」，一定是把整捲都用光了。
Bet it was that Officer Walls again.	我敢說一定又是 Walls 警員幹的。
Flush. Flush. The spiraling water IS spellbinding, isn't it?	沖水、沖水。打旋的水流還真是迷人，對吧？
This is the men's locker room - not target practice.	這裡是男更衣室，不是打靶場。
Try your combination.	試試你的密碼。
Oops. The t.p. dispenser is empty. Good thing you noticed it while you're still standing.	糟了，衛生紙盒是空的。還好你現在還站著就發現了。
Someone's used up all the toilet paper. You'll have to wait for the janitor to fill the dispenser.	有人把衛生紙全用光了，你得等工友來補貨。
The dispenser is empty.	衛生紙盒是空的。
The janitor hasn't filled the dispenser with paper yet.	工友還沒把衛生紙補進盒子裡。
The "Roll King"dispenser is filled with a fresh new roll of standard issue, two-ply "Timbersoft" toilet paper.	「衛生紙王」紙盒裡裝著一捲全新的公發雙層「Timbersoft」衛生紙。
The roll is empty. You emptied it, remember?	這捲是空的，記得嗎，是你自己用光的。
It seems the last person used all the toilet paper.	看來前一個人把衛生紙全用光了。
Oops. The t.p. dispenser is empty. Good thing you notice it while you're still standing.	糟了，衛生紙盒是空的。還好你現在還站著就發現了。
The toilet paper is all gone. You begin to wonder if the janitor is doing his job.	衛生紙全沒了，你開始懷疑工友是不是有在做事。
They can put men on the moon... but they can't make a dispenser that won't run out of paper!	人類都能送人上月球了……卻做不出一個不會沒紙的衛生紙盒！
Damn! No paper!	可惡！沒紙了！
No time to sit now. Besides, the toilet paper is all gone. You leave the janitor a note to fill the toilet paper dispenser.	現在沒空坐下來，而且衛生紙也用光了。你留了張紙條給工友，請他補衛生紙。
No paper! You wish the chief would stop using this stall.	沒紙了！真希望局長不要再用這間廁所了。
I would have thought you would know the use for toilet paper.	我還以為你會知道衛生紙是做什麼用的。
You can't do that from there...	你在那裡沒辦法那樣做……
They have a name for people who are obsessed with toilets, you know.	你知道嗎，對馬桶著迷的人是有專有名詞的。
You remove your nightstick.	你取下警棍。
You remove your notebook.	你拿出筆記本。
That locker belongs to somebody else, Bonds!	Bonds，那個置物櫃是別人的！
You don't have time to sit down.	你沒有時間坐下來。
Breaking and entering doesn't look good on a policeman's record, Sonny!	Sonny，非法侵入寫進警察的紀錄裡可不好看！
That would only attract attention, don't you think.	那樣只會引人注意，你不覺得嗎。
That won't help you open the locker.	那樣沒辦法幫你打開置物櫃。
You take notes on what you've found in Morales' locker.	你把在 Morales 置物櫃裡發現的東西記下來。
You'd better leave the cocaine here. If it were missing, Morales would get suspicious.	你最好把古柯鹼留在這裡，要是不見了，Morales 會起疑心。
You take notes on what you have found.	你把發現的東西記下來。
You need to get out of here quickly. You don't have time to lounge!	你得趕快離開這裡，沒時間閒晃！
It's bad enough that you're even in here!	你會在這裡就已經夠糟了！
That's not Morales' locker!	那不是 Morales 的置物櫃！
That's the door to the Sergeant's office. Hey, that's you.	那是警佐辦公室的門。嘿，那不就是你嗎。
That's the door to the Sergeant's office.	那是警佐辦公室的門。
That's unnecessary. Just open the door.	沒必要這樣，直接開門就好。
That won't get you anywhere.	那樣不會有什麼幫助。
Thanks to the gang of Doug Oldfield, Chris Hoyt, Kim Bowdish and Mike Larson. The programmers who really deserve the main credit for this game.	感謝 Doug Oldfield、Chris Hoyt、Kim Bowdish 與 Mike Larson 這群夥伴，他們才是真正該為本作居功的程式設計師。
You look over the bulletin board, but see nothing of interest.	你看了一遍佈告欄，但沒看到什麼值得注意的東西。
That's unnecessary.  Just walk through the door.	沒必要這樣，直接走過去就好。
The Vice door is locked.	風化組的門鎖著。
You have a serious talk with Morales...	你和 Morales 進行了一次嚴肅的談話……
I have a complaint here alleging that you were verbally abusive to one of the violators you stopped.	我這裡有一份投訴，指控你對你攔查的一名違規者出言辱罵。
The complaint states that you yelled, screamed and used profanity.	投訴內容指出，你當時大吼大叫還講髒話。
So whaddya want from me? The guy was a jerk!	那你要我怎樣？那傢伙本來就是個混蛋！
He'd of liked to do more than file a complaint - if ya know what I mean.	他原本想做的可不只是投訴而已——你懂我的意思吧。
Continuing the interview you ask...	你繼續問話……
Alright. Why don't YOU tell ME what happened?	好吧。不如你來告訴我到底發生了什麼事？
I pull the guy over, right? He's goin' 75, maybe 80 in a 50 mile zone.	我把那傢伙攔下來，對吧？他在限速50英里的路段開到75，甚至80。
I walk up to the car and BOOM, right away he starts eyein' me and lippin' off.	我走近車子，結果一下子他就開始瞪我、對我頂嘴。
I'm to put up with that crap?	難道我還得忍受那種鳥事？
You ask Officer Morales directly...	你直接問 Morales 警員……
Did you raise your voice and use profanity with the man or not?	你到底有沒有對那個人提高音量、講髒話？
Look - you try bein' a woman cop for just one day. Then tell me how to do my job!	聽好——你自己去當一天女警試試，再來告訴我該怎麼做我的工作！
Truthfully? I don't remember what the hell I said, but whatever it was I had damn good reason!	說實話？我不記得自己到底說了什麼，但不管說了什麼，我都有充分的理由！
Okay, Morales, that's it for now.  Get back on duty and see if you can keep the 'civil' in civil servant.	好了，Morales，先這樣。回去繼續執勤，看你能不能把「公僕」的「公」字做好一點。
