Would you like to skip\nthe introduction or\nwatch the whole thing?	你想跳過\n開場動畫，\n還是整段看完？
You may skip this sequence\nif you have already seen it.\n	這段你要是看過了，\n可以跳過。\n
Are you sure you want to\r\ndelete this saved game?	確定要刪除\r\n這個存檔嗎？
Change\r\nDirectory	切換\r\n目錄
SAVE GAME	儲存進度
*The trunk contains items you may need in the field.	*後車廂放著出勤可能用得上的裝備。
The trunk contains items you may need in the field.	後車廂放著出勤可能用得上的裝備。
the Coroner's office is conveniently located just down the street from the courthouse.	法醫室就在法院同一條街上，走幾步就到。
rthe Coroner's office is conveniently located just down the street from the courthouse.	法醫室就在法院同一條街上，走幾步就到。
This place always gives you the creeps. Just the thought of all those dead bodies. Leon keeps it so damn cold in here.	這地方每次來都讓你發毛。一想到那些屍體就……Leon 還把冷氣開得這麼強。
PHEEW! It's still a little on the toasty side in here. The stench of burnt carpet and upholstry coils the hairs in your nose.	呼！裡面還有點餘溫。燒焦的地毯和沙發布料那股味道，嗆得你鼻毛都捲起來。
This back room looks to have been used as a gathering place for some kind of ritual. The large red pentagram looks all to familiar.	這間後室看起來是拿來辦某種儀式的聚會場所。地上那個大紅五芒星，你熟得很。
PROGRAMMERS:\n\n	程式設計：\n\n
ARTISTS:\n\n	美術：\n\n
SOUND EFFECTS & COMPOSERS:\n\n	音效與配樂：\n\n
WRITER:\n\n	編劇：\n\n
SYSTEM DEVELOPMENT:\n	系統開發：\n
QUALITY ASSURANCE:\n\n	品管測試：\n\n
Ms. Gibbs, Evidence Officer\nMr. Smith, Booking Officer\nMr. Stumps, Janitor\nSidney Aimes, Psychologist\nMr. Hanley, Speeder\nPregnant Lady \nArmy Recruiter \nDrunk \nFlorist \nDoctor Wagner \nChief Fireman	Ms. Gibbs，證物管理員\nMr. Smith，登錄員\nMr. Stumps，工友\nSidney Aimes，心理師\nMr. Hanley，超速駕駛\n孕婦 \n陸軍徵兵官 \n醉漢 \n花店老闆 \nDoctor Wagner \n消防隊長
Newspaper Reporter\nNut at Aspen Falls \nCourt Recorder \nCarla Reed, Bag lady \nMildred Simpson, Judge\nMr. Meyer, Defense Attorney\nMr. Cannon, D.A.	報社記者\nAspen Falls 的瘋子 \n法庭書記官 \nCarla Reed，流浪婦人 \nMildred Simpson，法官\nMr. Meyer，辯護律師\nMr. Cannon，檢察官
Spike, the K-9 unit\nTrainer\nAssistant Trainer\nSpike's Hairdresser\nSpike's Stunt Double\nSpike's Costume	警犬 Spike\n訓練員\n助理訓練員\nSpike 的髮型師\nSpike 的替身\nSpike 的戲服
