Leave Earl's stuff alone.	別動 Earl 的東西。
Your desk is near the filing cabinet.	你的辦公桌在檔案櫃旁邊。
The window doesn't open and the blinds are fine.	窗戶打不開，百葉窗也好好的。
You can't stop crime by ripping up the graph.	把圖表撕了也阻止不了犯罪。
None of the books interest you.	這些書你一本都不感興趣。
The messages are public - leave them up.	這些公告是給大家看的，別拿下來。
The memo advises of a mandatory attendance of all female officers for physical performance testing at the beginning of shift tomorrow.	備忘錄通知：全體女警明天上班一開始要強制參加體能測驗。
Herein lies the names of the programmers who without undo fanfare brought you this game. Doug Oldfield, Chris Hoyt, Kim Bowdish and Mike Larsen.	這裡列著默默無聞、為你帶來這款遊戲的程式設計師名單：Doug Oldfield、Chris Hoyt、Kim Bowdish 與 Mike Larsen。
Rarely do you find anything of interest on the bulletin board.	佈告欄上很少有什麼值得看的東西。
Your fellow officers have been a little on edge since the corner donut shop closed. You take their ribbing in stride knowing that it comes with the territory when your the new Sarge on the block.	自從街角的甜甜圈店關門後，同事們的脾氣都有點浮躁。你不當一回事，畢竟剛當上新警佐，被虧幾句是免不了的。
Come on Sarge! Get with the briefing.	拜託，警佐！快點開始交班簡報吧。
The Lytton public needs us, Sergeant! Give us the crap of the day so we can get out of here.	Lytton 的市民需要我們，警佐！趕快把今天的鳥事講一講，讓我們出去辦事。
You'd think a new Sergeant would know what to do.	你以為新警佐會知道該怎麼做。
Obviously the Sergeant needs someone to take him by the hand!	看來這位警佐需要有人牽著他的手才行！
Since you're obviously not up to it, the "Officer in Charge" conducts the briefing.	既然你顯然應付不來，就由「代理主管警員」來主持簡報。
Good afternoon, Officers!	各位警員，午安！
 Ahem! Since Sergeant Bonds here has obviously forgotten about filling in for Officer Jaco while he's on vacation,... I will go ahead with the briefing.	咳！既然 Bonds 警佐顯然忘了自己要代理休假中的 Jaco 警員……那就由我來主持這場簡報。
Anyway, you all have today's duty sheets...	總之，各位都拿到今天的勤務表了……
Officer Miller goes over the duty sheets. Then he says...	Miller 警員把勤務表講過一遍，接著說……
That's it. Have a safe shift and think about making right hand approaches on your car stops.	就這樣。祝大家勤務平安，攔車臨檢時記得從右側接近。
You begin the briefing...	你開始主持簡報……
Good afternoon, people!	各位，午安！
I will be filling in for Sergeant Jaco while he's on vacation.	Jaco 警佐休假期間，由我代理。
You advise the afternoon shift of the procedural information and announcements listed on the clipboard and close by saying...	你把寫字板上的程序事項與公告一一交代給下午班，最後說……
Have a safe shift and think about making right hand approaches on your car stops.	祝大家勤務平安，攔車臨檢時記得從右側接近。
OK!  OK!  Your office after the briefing.  I heard ya!  Sheesh!	好啦！好啦！簡報完再去你辦公室，我聽到了啦！唉唷！
Morales, I need to have a word with you in my office after this afternoon's briefing.	Morales，下午簡報結束後，到我辦公室來，我有話跟你說。
She REALLY doesn't want to talk to you.	她真的一點都不想跟你講話。
Afternoon, Morales.	午安，Morales。
Ok,..so what did I do this time?  Wait!... don't tell me... another complaint from some moron who thinks he was the victim of police brutality.	好啊……這次我又做了什麼？等等……別告訴我……又是哪個白痴自以為被警察施暴，跑來投訴。
Sure, Sarge. I'd love to come hear some idiot's complaint. It'd make my day.	好啊，警佐。我超想去聽哪個白痴投訴，聽了保證心情大好。
What is this, a talk show? Just give the damn briefing.	這是在幹嘛，開脫口秀嗎？簡報講一講就好。
You stutter for a moment then mutter something about just being friendly.	你結巴了一下，含糊地說自己只是想表示友善。
Officer Joe Banks responds after being interrupted from his report writing...	Joe Banks 警員寫報告被打斷，回話說……
Gee Sarge, I'd really like to finish this report.	唉，警佐，我很想把這份報告寫完。
Not looking up, Officer Banks says...	Banks 警員頭也不抬地說……
Please don't break my concentration!	拜託別打斷我的專注！
Officer Banks ignores you and continues writing.	Banks 警員沒理你，繼續寫他的。
Referring to the academy, Carl says...	Carl 提到警校時說……
Drawing attention to you, Officer Law says...	Law 警員把大家的目光引到你身上，說……
Welcome back from the Palace of Pain!	歡迎從「痛苦殿堂」回來！
No doubt the Academy hasn't changed any since the crap keeps rolling down hill!	難怪警校都沒變，鳥事還是一路往下滾！
Looky here guys and gals, another star is born! We have a new Sergeant.	各位兄弟姐妹，看看這裡，又一顆新星誕生了！我們多了一位新警佐。
I bet the metamorphosis from good guy to Sergeant was a real experience.  Ha! Ha!	我打賭從好人變成警佐這段蛻變，肯定很有意思。哈！哈！
Can we get on with the briefing Sarge? I've got a date with a coffee shop!	警佐，簡報可以繼續了嗎？我跟咖啡店有約呢！
Hey Sarge! The glare coming off your new chevrons is blinding us. The department's gonna hafta' issue us sun glasses. HA!	嘿，警佐！你那新警階章亮得快把我們閃瞎了，局裡大概得發太陽眼鏡給我們了。哈！
I got a card from Sergeant Jaco. He says he's having a great time in the Bahamas - the scum.	我收到 Jaco 警佐寄來的明信片，他說他在巴哈馬玩得可樂了——這個混蛋。
"Hands off, Bonds!"	「手拿開，Bonds！」
Sonny Bonds wouldn't do that in a million years.	Sonny Bonds 打死也不會做這種事。
They KNOW who you are, Bonds.	他們可清楚你是誰，Bonds。
This afternoon's briefing is already concluded.	今天下午的簡報已經結束了。
Not a chance.	想都別想。
Surely you can think of better ways to handle a woman - even an arrogant one!	你應該想得出更好的方法對付女人吧——就算她再囂張也一樣！
You don't need to sit down.	你不需要坐下。
Just walk out.	直接走出去就好。
Sorry, no chalk.	抱歉，沒有粉筆。
You can't give the briefing that way.	你不能用這種方式做簡報。
Those postings need to stay up for public consumption.	這些公告要留著讓大家看。
Just as you reach for the file...	就在你伸手去拿檔案的時候……
Hey! That's highly confidential material, Sergeant!	嘿！那是高度機密的資料，警佐！
While you turn bright red, Dr. Aimes asks...	你臉紅到不行的時候，Aimes 醫生問……
What is it that you WANT, Bonds? I'm a very busy man.	你到底要什麼，Bonds？我可是很忙的。
You hand the military record to the doctor.	你把軍中紀錄交給醫生。
Lovely. I get to peer into the mind of yet another scumbag.	太好了，我又能窺探另一個人渣的內心了。
The doctor reads Bains' military record.	醫生翻閱 Bains 的軍中紀錄。
Then goes into his 'analysis' pose.	接著擺出他的「分析」架勢。
Rather interesting, actually.	其實還滿有意思的。
