Restore	載入
Restart	重新開始
    Quit    	    離開    
Score: %d out of %d	分數：%d／%d
This icon displays your current score.	這個圖示顯示你目前的分數。
Select this Icon to close this window.	選這個圖示關掉視窗。
wSelect this Icon to close this window.	選這個圖示關掉視窗。
Select this Icon then select an inventory item you'd like a description of.	先選這個圖示，再選你想看說明的道具。
Allows you to select an item.	讓你挑選道具。
This icon shows the currently selected inventory item.	這個圖示顯示你目前選取的道具。
This icon displays the inventory window.	這個圖示打開道具欄。
This icon is for walking.	這個圖示是走路用的。
Allows you to restore a previously saved game.	讓你載入之前存的進度。
Allows you to restart the game.	讓你重新開始這場遊戲。
You can't pull your gun here, Bonds.	Bonds，這裡不能拔槍。
Going off duty?	要下班了嗎？
You want to start over?	要重來一次嗎？
You can't save right now.	現在不能存檔。
You can't restore right now.	現在不能載入。
That game was saved under a different interpreter. It cannot be restored.	這個存檔是別的版本存的，讀不出來。
You have %s	你身上有 %s
You put the batteries in the flashlight.	你把電池裝進手電筒。
Your gun is in that locker.	你的槍在那個置物櫃裡。
You take your gun.	你拿起自己的槍。
You put your gun in the locker, lock the door, and take the key.	你把槍放進置物櫃，鎖上門，拔走鑰匙。
You take your handcuffs.	你拿起手銬。
You are not close enough to handcuff him.	你離他太遠，銬不上。
You only need handcuffs to restrain a suspect, not a witness.	手銬是用來制伏嫌犯的，證人不用銬。
You remove your flashlight.	你取出手電筒。
You turn your flashlight off.	你關掉手電筒。
You turn your flashlight on and begin a search of the scene.	你打開手電筒，開始搜查現場。
Your Baretta nine millimeter handgun.	你的 Baretta 九釐米手槍。
Your handcuffs are made of stainless steel.	你的手銬是不鏽鋼做的。
Your regulation flashlight.	你的配發手電筒。
A Computer ID request form.	一張電腦查詢申請單。
Search warrant.	搜索票。
judicial order.	法院命令。
Calibration chart.	校正表。
A manila envelope.	一個牛皮紙信封。
Music box.	音樂盒。
Camera.	相機。
the score board	計分板
You see various scores of past games.	你看到歷來幾場遊戲的分數。
Yes, Sergeant? Can I do something for you?	警佐，有事嗎？要我幫什麼忙？
I KNOW who you are, Sergeant Bonds. Quit being a wiseass.	我知道你是誰，Bonds 警佐。少在那邊耍嘴皮子。
You on duty, Bonds? I got plenty of free cells to be filled up.	Bonds，你當班喔？我這邊空牢房多得是，隨時等你送人來。
The car radio interrupts the silence:	車上的無線電打破了沉默：
A radio call interrupts your thoughts of being home with Marie tonight:	一通無線電打斷了你「今晚要回家陪 Marie」的念頭：
As for Sonny, he was promoted to Detective Sergeant with the Lytton Police Department.	至於 Sonny，他升上了 Lytton 警局的警探警佐。
As the story opens, Sonny's just finished his Sergeant's training and is back on duty.	故事開始時，Sonny 剛結束警佐訓練，重新回到崗位上。
You shudder again as you\nlook at the photograph\nof Jessie and Michael Bains.	你又打了個寒顫，\n盯著 Jessie 和 Michael Bains\n的那張照片。
Inside the the envelope you find:\n  A cult ring.\n  A cult book.\n  Marie's locket.\nYou remove these and discard the envelope.	信封裡你找到：\n  一枚邪教戒指。\n  一本邪教書籍。\n  Marie 的鎖盒。\n你取出這些東西並丟棄信封。
You have $2.50	你有 $2.50
You have $5.00	你有 $5.00
You have $7.50	你有 $7.50
You have $10.00	你有 $10.00
You're flat broke!	你身無分文！
This is Juan Ruiz's license - #434301.	這是 Juan Ruiz 的駕照 - #434301。
This is Orpheus' license - #522341.	這是 Orpheus 的駕照 - #522341。
This is the drunk' ID card.	這是那個醉漢的身分證。
This is Brian Forbes's license - #789612.	這是 Brian Forbes 的駕照 - #789612。
This is Andrew Dent's license - 980453.	這是 Andrew Dent 的駕照 - 980453。
You log Andrew Dent's license information in your notebook.	你在筆記本裡記錄了 Andrew Dent 的駕照資訊。
You already have the information in your notebook.	你已經在筆記本裡有這些資訊了。
%d of %d	%d / %d
Hello. I'm Jim Walls, retired California Highway Patrol Officer and designer of the Police Quest series.	你好。我是 Jim Walls，已退休的加州公路巡邏隊警官，也是警察故事系列的設計者。
With Police Quest, you're not just watching some movie star portraying the glamourous part of police work. As Detective Sonny Bonds, YOU'RE the man behind the badge.	在警察故事中，你不只是看著某個明星演員表演警察工作光鮮亮麗的一面。作為警探 Sonny Bonds，你才是那個頂著警徽的人。
It's up to you to learn and follow correct police procedure - to make the right decisions in life and death situations.	你得學會並遵循正確的警務程序——在生死抉擇中做出正確的決定。
In REAL police work, you have to know when to be a hero and when to rely on caution and use the other team players on the force.	在真實的警務工作中，你必須知道何時要充當英雄，何時該依靠謹慎並利用隊友的力量。
Some of the incidents in Police Quest 3 are based on actual events that occurred during the course of my career. I managed to survive them. Let's see if YOU can do as well under pressure.	警察故事3 中的一些案件是根據我職業生涯中發生的真實事件改編的。我設法活了下來。讓我們看看在壓力下你能否做得一樣好。
Here's the scene you're about to be walking into...	這是你即將走進的場景……
Lytton, once a quiet and peaceful little town, has been growing like a weed. There's new industry, good jobs, and a decent standard of living.	Lytton 曾經是個安靜祥和的小城鎮，現在發展得飛快。有新的產業、好工作和體面的生活水準。
Unfortunately, progress is not without its side effects. Poverty and crime are going up about as fast as the new cultural center.	不幸的是，進步並非沒有代價。貧困和犯罪率的增長跟新文化中心的發展一樣快。
Homicide Detective Sonny Bonds and his wife Marie are still on a 'honeymoon high' from their wedding a few years back.	重案警探 Sonny Bonds 和妻子 Marie 還沉浸在幾年前婚禮帶來的「蜜月興奮」中。
Marie's got a good job at Oak Tree Mall and the two have a beautiful new home.	Marie 在 Oak Tree Mall 有份不錯的工作，兩人擁有一幢美麗的新家。
Overburdened as the department is, he's been assigned to Traffic Division for a bit. Seems Traffic's always understaffed.	儘管警局人手不足，他暫時被分配到交通組。看來交通組總是人手短缺。
